Book,Author(s),Original language,First published,Approximate sales in millions,Genre,descripcion
The Naked Ape,Desmond Morris,English,1968,20.0,"Social Science, Anthropology, Psychology","FIFTIETH ANNIVERSARY EDITION - WITH A NEW PREFACE BY THE AUTHOR Here is the Naked Ape at his most primal - in love, at work, at war. Meet man as he really is: relative to the apes, stripped of his veneer as we see him courting, making love, sleeping, socialising, grooming, playing. Zoologist Desmond Morris's classic takes its place alongside Darwin's Origin of the Species, presenting man not as a fallen angel, but as a risen ape, remarkable in his resilience, energy and imagination, yet an animal nonetheless, in danger of forgetting his origins. With its penetrating insights on man's beginnings, sex life, habits and our astonishing bonds to the animal kingdom, The Naked Ape is a landmark, at once provocative, compelling and timeless. 'Original, provocative and brilliantly entertaining. It's the sort of book that changes people's lives' Sunday Times"
Where the Crawdads Sing,Delia Owens,English,2018,18.0,Coming-of-age Murder mystery,"OVER 12 MILLION COPIES SOLD WORLDWIDE NOW A MAJOR MOTION PICTURE A NUMBER ONE NEW YORK TIMES BESTSELLER For years, rumours of the 'Marsh Girl' have haunted Barkley Cove, a quiet town on the North Carolina coast. So in late 1969, when handsome Chase Andrews is found dead, the locals immediately suspect Kya Clark, the so-called Marsh Girl. But Kya is not what they say. Sensitive and intelligent, she has survived for years alone in the marsh that she calls home, finding friends in the gulls and lessons in the sand. Then the time comes when she yearns to be touched and loved. When two young men from town become intrigued by her wild beauty, Kya opens herself to a new life - until the unthinkable happens. 'Unforgettable . . . as engrossing as it is moving' Daily Mail 'I can't even express how much I love this book!' Reese Witherspoon '[It] will reach a huge audience though the writer's old-fashioned talents for compelling character, plotting and landscape description' Guardian 'Writing that takes your breath away' The Times"
Matilda,Roald Dahl,English,1988,17.0,Children's Literature,"Matilda es una historia de Roald Dahl, el gran autor de literatura infantil. Matilda es una ávida lectora de solo cinco años. Sensible e inteligente, todos la admiran menos sus mediocres padres, que la consideran una inútil. Además, tiene poderes extraños y maravillosos... Un día, Matilda decide liberarse y empieza a emplearlos contra la abominable y cruel señorita Trunchbull. Más de 17 millones de ejemplares vendidos en el mundo."
The Book Thief,Markus Zusak,English,2005,16.0,Young Adult Fiction,"#1 NEW YORK TIMES BESTSELLER • ONE OF TIME MAGAZINE’S 100 BEST YA BOOKS OF ALL TIME • A NEW YORK TIMES READER TOP 100 PICK FOR BEST BOOKS OF THE 21ST CENTURY • A KIRKUS REVIEWS BEST YOUNG ADULT BOOK OF THE CENTURY The extraordinary, beloved novel about the ability of books to feed the soul even in the darkest of times. When Death has a story to tell, you listen. It is 1939. Nazi Germany. The country is holding its breath. Death has never been busier, and will become busier still. Liesel Meminger is a foster girl living outside of Munich, who scratches out a meager existence for herself by stealing when she encounters something she can’t resist–books. With the help of her accordion-playing foster father, she learns to read and shares her stolen books with her neighbors during bombing raids as well as with the Jewish man hidden in her basement. In superbly crafted writing that burns with intensity, award-winning author Markus Zusak, author of I Am the Messenger, has given us one of the most enduring stories of our time. “The kind of book that can be life-changing.” —The New York Times “Deserves a place on the same shelf with The Diary of a Young Girl by Anne Frank.” —USA Today DON’T MISS BRIDGE OF CLAY, MARKUS ZUSAK’S FIRST NOVEL SINCE THE BOOK THIEF."
Goodnight Moon,Margaret Wise Brown,English,1947,16.0,Children's Literature,"In this classic of children's literature, beloved by generations of readers and listeners, the quiet poetry of the words and the gentle, lulling illustrations combine to make a perfect book for the end of the day. In a great green room, tucked away in bed, is a little bunny. ""Goodnight room, goodnight moon."" And to all the familiar things in the softly lit room—to the picture of the three little bears sitting on chairs, to the clocks and his socks, to the mittens and the kittens, to everything one by one—the little bunny says goodnight. One of the most beloved books of all time, Goodnight Moon is a must for every bookshelf and a time-honored gift for baby showers and other special events."
All the Light We Cannot See,Anthony Doerr,English,2014,15.3,"Historical fiction, war novel","An imaginative and intricate novel inspired by the horrors of World War II and written in short, elegant chapters that explore human nature and the contradictory power of technology."
Fifty Shades of Grey,E. L. James,English,2011,15.2,Erotica,"Ve el mundo de Cincuenta sombras de Grey a través de los ojos de Christian Grey. En las palabras del propio Christian, y a través de sus pensamientos, reflexiones y sueños, E L James nos ofrece una nueva perspectiva de la historia de amor que ha cautivado a millones de lectores en todo el mundo. Christian Grey ejerce control sobre todo. Su mundo es ordenado, disciplinado y completamente vacío—hasta el día en que Anastasia Steele aparece en su oficina, con sus esbeltas piernas y alborotado pelo castaño. Intenta olvidarla, pero se ve inmerso en una tormenta de emociones que no puede comprender y no puede resistir. A diferencia de cualquier otra mujer que haya conocido, la tímida y sencilla Ana parece poder ver más allá del exitoso empresario y su vida de lujo, hacia su frío y herido corazón. ¿Podrá Ana ahuyentar las pesadillas de su infancia que le persiguen cada noche? ¿O será que sus oscuros deseos sexuales, su necesidad de controlarlo todo, y el odio que siente hacia sí mismo acabarán alejándola y destrozando la frágil esperanza que ella le ofrece? ENGLISH DESCRIPTION E L James revisits the world of Fifty Shades with a deeper and darker take on the love story that has enthralled millions of readers around the globe. Christian Grey exercises control in all things; his world is neat, disciplined, and utterly empty—until the day that Anastasia Steele falls into his office, in a tangle of shapely limbs and tumbling brown hair. He tries to forget her, but instead is swept up in a storm of emotion he cannot comprehend and cannot resist. Unlike any woman he has known before, shy, unworldly Ana seems to see right through him—past the business prodigy and the penthouse lifestyle to Christian’s cold, wounded heart. Will being with Ana dispel the horrors of his childhood that haunt Christian every night? Or will his dark sexual desires, his compulsion to control, and the self-loathing that fills his soul drive this girl away and destroy the fragile hope she offers him? This book is intended for mature audiences."
The Pillars of the Earth,Ken Follett,English,1989,15.0,Historical fiction,"A spellbinding epic tale of ambition, anarchy and absolute power set against the sprawling medieval canvas of twelfth-century England, The Pillars of the Earth is Ken Follett's classic historical masterpiece. A MASON WITH A DREAM 1135 and civil war, famine and religious strife abound. With his family on the verge of starvation, mason Tom Builder dreams of the day that he can use his talents to create and build a cathedral like no other. A MONK WITH A BURNING MISSION Philip, prior of Kingsbridge, is resourceful, but with money scarce he knows that for his town to survive it must find a way to thrive, and so he makes the decision to build within it the greatest Gothic cathedral the world has ever known. A WORLD OF HIGH IDEALS AND SAVAGE CRUELTY As Tom and Philip meet so begins an epic tale of ambition, anarchy and absolute power. In a world beset by strife and enemies that would thwart their plans, they will stop at nothing to achieve their ambitions in a struggle between good and evil that will turn church against state, and brother against brother . . . The Pillars of the Earth is the first in The Kingsbridge Novels series, followed by World Without End and A Column of Fire. More than 175 million copies sold worldwide. Published in over eighty territories and thirty-seven languages. The international No. 1 bestselling phenomenon returns."
The Hitchhiker's Guide to the Galaxy,Douglas Adams,English,1979,14.0,Science fiction,"‘Sheer delight’ – The Times This 42nd Anniversary Edition includes exclusive bonus material from the Douglas Adams archives, and an introduction by Doctor Who showrunner, Russell T Davies. ***** An international phenomenon and pop-culture classic, The Hitchhiker's Guide to the Galaxy has been a radio show, TV series, novel, stage play, comic book and film. Following the galactic (mis)adventures of Arthur Dent, Hitchhiker’s in its various incarnations has captured the imaginations of curious minds around the world . . . It's an ordinary Thursday lunchtime for Arthur Dent until his house gets demolished. The Earth follows shortly afterwards to make way for a new hyperspace express route, and his best friend has just announced that he's an alien. At this moment, they're hurtling through space with nothing but their towels and an innocuous-looking book inscribed, in large friendly letters, with the words: DON'T PANIC. The weekend has only just begun . . . Continue Arthur Dent's intergalactic adventures in the rest of the trilogy with five parts: The Restaurant at the End of the Universe, Life, the Universe and Everything, So Long, and Thanks for All the Fish, and Mostly Harmless. ***** Praise for Douglas Adams: ‘One of the world’s sanest, smartest, kindest, funniest voices’ – Independent on Sunday ‘Magical . . . read this book’ – Sunday Express 'A pleasure to read' - New York Times"
The Giver,Lois Lowry,English,1993,12.0,Dystopian fiction,"In Lois Lowry’s Newbery Medal–winning classic, twelve-year-old Jonas lives in a seemingly ideal world. Not until he is given his life assignment as the Receiver does he begin to understand the dark secrets behind his fragile community. Life in the community where Jonas lives is idyllic. Designated birthmothers produce newchildren, who are assigned to appropriate family units. Citizens are assigned their partners and their jobs. No one thinks to ask questions. Everyone obeys. Everyone is the same. Except Jonas. Not until he is given his life assignment as the Receiver of Memory does he begin to understand the dark, complex secrets behind his fragile community. Gradually Jonas learns that power lies in feelings. But when his own power is put to the test—when he must try to save someone he loves—he may not be ready. Is it too soon? Or too late? Told with deceptive simplicity, this is the provocative story of a boy who experiences something incredible and undertakes something impossible. In the telling it questions every value we have taken for granted and reexamines our most deeply held beliefs. The Giver has become one of the most influential novels of our time. Don't miss the powerful companion novels in Lois Lowry's Giver Quartet: Gathering Blue, Messenger, and Son."
The Exorcist,William Peter Blatty,English,1971,11.0,Horror,"Blatty se basó, para crear a su protagonista, en un hecho real ocurrido en la década de los cuarenta. Una niña de apenas once años sufre terribles transformaciones, sobre todo en su comportamiento. Ni médicos, ni científicos, ni psicólogos seran capaces de hallar la causa de tal estado y paulatinamente todo ira apuntando hacia la hipótesis de que la niña esta poseída por el demonio. ENGLISH DESCRIPTION Blatty was inspired by a true event during the 1940s to create his protagonist. A girl of just eleven years old undergoes terrible changes. Doctors, scientists, and psychologists are all unable to find the cause of her condition. They begin to suggest that she may be possessed by the devil."
Fifty Shades Darker,E. L. James,English,2012,10.4,Erotica,"Intimidada por las peculiares prácticas eróticas y los oscuros secretos del atractivo y atormentado empresario Christian Grey, la joven Anastasia Steele decide romper con él. Pero el deseo por Christian todavía domina cada uno de sus pensamientos y, cuando finalmente él le propone retomar su aventura, Ana no puede resistirse. Sin embargo, al reanudar su tórrida y sensual relación, Ana averiguará aún más del doloroso pasado del impetuoso y exigente Cincuenta Sombras, como ella le llama. Mientras Christian lucha contra sus propios demonios, Ana debe enfrentarse a la ira y la envidia de las mujeres que la precedieron y tomar la decisión más importante de su vida. ENGLISH DESCRIPTION THE OFFICIAL FIFTY SHADES DARKER MOVIE TIE-IN EDITION A MAJOR MOTION PICTURE OFFICIAL MOVIE TIE-IN EDITION, INCLUDES BONUS MATERIAL A special edition of E L James’s #1 New York Times bestselling novel, Fifty Shades Darker, that includes her own photos and caption commentary from the making of the film. Daunted by the singular tastes and dark secrets of the beautiful, tormented young entrepreneur Christian Grey, Anastasia Steele has broken off their relationship. But desire for Christian still dominates her every waking thought, and when he proposes a new arrangement, Ana cannot resist. They rekindle their searing sensual affair, and Ana learns more about the harrowing past of her damaged, driven, and demanding Fifty Shades. While Christian wrestles with his inner demons, Ana must confront the anger and envy of the women who came before her, and make the most important decision of her life. The second volume in The Fifty Shades of Grey Trilogy."
